date,gross_return,transaction_cost,strategy_return,gross_equity_curve,equity_curve
2021-09-08,0.0015202522144167842,0.0001,0.0014202522144167841,1.0015202522144169,1.0014202522144169
2021-09-09,-0.00269191732627867,0.0,-0.00269191732627867,0.9988242424948619,0.9987245116865945
2021-09-10,0.004130230413401792,0.0,0.004130230413401792,1.0029496167588572,1.0028494740393723
2021-09-13,0.0015948570798664631,0.0,0.0015948570798664631,1.0045491780558944,1.0044488756230845
2021-09-14,9.333017934123334e-05,0.0,9.333017934123334e-05,1.0046429328108395,1.0045426210167856
2021-09-15,-0.0029256697661821374,0.0002,-0.003125669766182137,1.0017036793565062,1.001402752517432
2021-09-16,-0.005486470017662715,0.0,-0.005486470017662715,0.9962078621531343,0.9959085863401402
2021-09-17,0.002180806900714183,0.0,0.002180806900714183,0.9983803991334634,0.9980804706577112
2021-09-20,0.0022395277548420633,0.0,0.0022395277548420633,1.0006162997472132,1.0003156995733151
2021-09-21,0.0017123043751687385,0.0,0.0017123043751687385,1.0023296594151356,1.0020285445222445
2021-09-22,-0.0024522822056178176,0.0002,-0.002652282205617817,0.999871664227189,0.9993708820440871
2021-09-23,0.0016096423402478966,0.0,0.0016096423402478966,1.001481099992743,1.000979511729436
2021-09-24,-0.002520058325608643,0.0,-0.002520058325608643,0.9989573092087666,0.9984569849771385
2021-09-27,-0.001187680062941432,0.0,-0.001187680062941432,0.9977708675288897,0.9972711375223765
2021-09-28,-0.0013143504676639273,0.0,-0.0013143504676639273,0.9964594469225316,0.9959603737363862
2021-09-29,0.006550780053700933,0.0002,0.006350780053700933,1.0029870335917537,1.0022854990121879
2021-09-30,-0.00252132122440607,0.0,-0.00252132122440607,1.0004581810961548,0.999758415310614
2021-10-01,0.002720684306854171,0.0,0.002720684306854171,1.003180111969127,1.002478442341795
2021-10-04,0.0007013095592217855,0.0,0.0007013095592217855,1.0038836517712724,1.0031814900563232
2021-10-05,-0.004712189242883392,0.0,-0.004712189242883392,0.9991531620262892,0.99845430903022
2021-10-06,-0.0009501706972054436,0.0002,-0.0011501706972054436,0.9982037959697116,0.9973059161414749
2021-10-07,0.003063295680384748,0.0,0.003063295680384748,1.0012615893460493,1.000360959046413
2021-10-08,-0.0009843907312659494,0.0,-0.0009843907312659494,1.0002759567179242,0.9993762129904075
2021-10-11,0.0015964044514034993,0.0,0.0015964044514034993,1.0018728017078606,1.000971621625452
2021-10-12,-0.0007695346854920126,0.0,-0.0007695346854920126,1.0011018258364954,1.0002013392434181
2021-10-13,0.0020147076786342756,0.0002,0.0018147076786342755,1.003118753372103,1.0020164122939235
2021-10-14,-0.004273574109886491,0.0,-0.004273574109886491,0.9988318510385504,0.9977342208966629
2021-10-15,-0.0035982069594137304,0.0,-0.0035982069594137304,0.9952378473208594,0.9941441666793873
2021-10-18,0.0005071101659885002,0.0,0.0005071101659885002,0.9957425425508124,0.9946483072927687
2021-10-19,-0.0015103022903039998,0.0,-0.0015103022903039998,0.9942386703082448,0.9931460876762174
2021-10-20,0.0005877230989423499,0.0002,0.00038772309894234995,0.9948230073406467,0.9935311533550337
2021-10-21,0.0017455604201737085,0.0,0.0017455604201737085,0.9965595310073386,0.9952654220125398
2021-10-22,-0.000803404190504109,0.0,-0.000803404190504109,0.9957588909040406,0.9944658216018311
2021-10-25,0.0029392498936352766,0.0,0.0029392498936352766,0.9986856751182167,0.9973888051621983
2021-10-26,-0.0029133515741826877,0.0,-0.0029133515741826877,0.9957761526344974,0.9944830609166068
2021-10-27,0.0005358009878710491,0.0002,0.0003358009878710491,0.9963096904807774,0.9948170093108837
2021-10-28,0.0030648802879151395,0.0,0.0030648802879151395,0.9993632604117909,0.9978660043528034
