periods,use_volatility_targeting,requested_tickers_count,downloaded_tickers_count,scored_tickers_count,backtest_days,total_return,annualized_sharpe,max_drawdown,benchmark_return,excess_return
1200,True,500,500,499,761,0.9660462109684176,1.0770422719388582,-0.2388108123079138,0.7801133637740476,0.18593284719436998
1200,False,500,500,499,761,1.1358856929289303,1.1268597869312058,-0.2544361489597129,0.7801130786244974,0.35577261430443285
