data_provider,universe_file,requested_tickers_count,downloaded_tickers_count,scored_tickers_count,periods,rebalance_frequency,max_sector_weight,use_volatility_targeting,use_score_weighting,use_long_short,total_return,annualized_sharpe,max_drawdown,benchmark_return,excess_return
yahoo,configs/universe_500.csv,500,500,499,1200,weekly,0.2,False,True,False,0.9726613468829914,1.0202445341674695,-0.24083175066588725,0.7132727329785986,0.25938861390439283
yahoo,configs/universe_500.csv,500,500,499,1200,weekly,0.2,False,True,True,0.7553556458244735,1.166959343740858,-0.13787068447360762,0.7132727329785986,0.04208291284587484
