date,ticker,lgbm_score,rf_score,linear_score,final_score,score
2021-09-08,META,0.5634840951220634,-0.004785294106960515,-0.0019280260167604604,0.2799208541255915,0.2799208541255915
2021-09-08,MSFT,0.14782809258085716,0.007620809948555009,0.020832431707249965,0.08036677561644508,0.08036677561644508
2021-09-08,GOOGL,0.9575468026603181,0.006184546446459508,-0.0026081500682181994,0.4801071352504533,0.4801071352504533
2021-09-08,NVDA,0.16504094519832696,0.0011847134624492317,-0.01629447988751052,0.07961699066039614,0.07961699066039614
2021-09-08,AMZN,0.7046488459918364,-0.0015741734925367671,0.016059684682343256,0.35506410788462583,0.35506410788462583
2021-09-08,AAPL,0.45004790655527027,0.001699867054617112,0.0058111878321699135,0.22669615096045426,0.22669615096045426
2021-09-09,AMZN,0.2126979908618573,-0.001640459996316819,0.011010607803577455,0.1080589789927491,0.1080589789927491
2021-09-09,META,0.5564818647843063,-0.008501418261032885,0.007939681254887688,0.2772784431648208,0.2772784431648208
2021-09-09,AAPL,0.7801021386597653,0.005373478892985615,0.004192431516757461,0.3925015993011298,0.3925015993011298
2021-09-09,GOOGL,0.9217500303947923,0.008235658270731904,-0.004739898112273829,0.462397733056161,0.462397733056161
2021-09-09,MSFT,0.24094587886389254,0.0069001820919251475,0.01786898280314385,0.12611679062015257,0.12611679062015257
2021-09-09,NVDA,0.14946214103221314,-0.0019910650448953585,-0.010288814045435656,0.07207598819355082,0.07207598819355082
2021-09-10,NVDA,0.340672051765549,-0.0003453212053036886,-0.006632300800129849,0.16890596936115743,0.16890596936115743
2021-09-10,GOOGL,0.9278271948981726,0.0036385564380321143,-0.009271559145820667,0.4631508525513318,0.4631508525513318
2021-09-10,MSFT,0.21886138882477912,0.008206907721870868,0.02281003010279819,0.11645477274951047,0.11645477274951047
2021-09-10,AMZN,0.6923418675836185,-0.0015741734925367671,0.01252170364290676,0.3482030224726296,0.3482030224726296
2021-09-10,META,0.8723828690380121,-0.005249526657426354,0.009283451050058294,0.4364732667317898,0.4364732667317898
2021-09-10,AAPL,0.44470587150694857,0.006833270096697143,0.0018521291078113355,0.2247733426040457,0.2247733426040457
2021-09-13,NVDA,0.6548715493230023,-0.003468929500832571,-0.00732429410935647,0.32493023698938006,0.32493023698938006
2021-09-13,GOOGL,0.9013278712256084,-0.0033581721818390724,-0.01092957216265028,0.4474705695257224,0.4474705695257224
2021-09-13,AMZN,0.39196710050679495,-0.003757526931212572,0.01893547446065364,0.19864338706616444,0.19864338706616444
2021-09-13,META,0.8629704164150976,-0.0011643845753162324,0.008374909746817056,0.43281087478431735,0.43281087478431735
2021-09-13,MSFT,0.5067993565212299,0.009799016736970933,0.017400864965580562,0.2598195562748223,0.2598195562748223
2021-09-13,AAPL,0.2072506809109603,0.006620117183379892,0.0052743267806559715,0.10666624096662532,0.10666624096662532
2021-09-14,MSFT,0.35582667348340663,0.012025050964001156,0.018843152211984023,0.18528948247330046,0.18528948247330046
2021-09-14,META,0.6565783401278048,-0.01368083041682599,0.00927151866497533,0.32603922467184965,0.32603922467184965
2021-09-14,GOOGL,0.9657784874871603,-0.0020343444608680056,-0.014888571331815871,0.4793012261389566,0.4793012261389566
2021-09-14,AMZN,0.15788945353369238,-0.003757526931212572,0.01785127640941448,0.08138772396936532,0.08138772396936532
2021-09-14,AAPL,0.7666105103237705,0.006833270096697143,0.009620474880115115,0.38727933116691743,0.38727933116691743
2021-09-14,NVDA,0.6122214988601825,-0.002585978249363726,-0.008906662354332861,0.30355362348441556,0.30355362348441556
2021-09-15,META,0.9172032653124482,-0.003677357387629765,0.01269834232105352,0.4600380939041459,0.4600380939041459
2021-09-15,AAPL,0.6501891304795642,0.006494464972367914,0.015089734668584475,0.3300608516652093,0.3300608516652093
2021-09-15,GOOGL,0.9422789041063908,-0.003123921686793755,-0.015845382490631853,0.4670331990490309,0.4670331990490309
2021-09-15,MSFT,0.9477789618191315,0.01193672287872847,0.016310999650228163,0.4807326977032299,0.4807326977032299
2021-09-15,AMZN,0.3133291782993741,-0.002561769826700813,0.014887957438795668,0.15887364968943596,0.15887364968943596
2021-09-15,NVDA,0.4456082980077586,-0.0035052415309964275,-0.005928351266856402,0.2205669062912091,0.2205669062912091
2021-09-16,AAPL,0.8912962096217669,0.012105865808304394,0.012753570199860282,0.4518305785933468,0.4518305785933468
2021-09-16,GOOGL,0.9571763632723347,-0.005601087240197249,-0.018511576047118283,0.47320554025468453,0.47320554025468453
2021-09-16,MSFT,0.9329180028375446,0.01193672287872847,0.011812232426271574,0.47240246476764514,0.47240246476764514
2021-09-16,NVDA,0.7750258018752002,-0.002585978249363726,4.928607006625483e-05,0.38674696467680425,0.38674696467680425
2021-09-16,META,0.6917011186585488,-0.006185297812335916,0.0074568295604726335,0.34548633589766814,0.34548633589766814
2021-09-16,AMZN,0.3111905133798072,-0.008414787662142795,0.016871952477358607,0.15644521088673247,0.15644521088673247
2021-09-17,GOOGL,0.9365593123403883,-0.0013103776988441878,-0.003452226256588548,0.46719609760922315,0.46719609760922315
2021-09-17,META,0.7318906602670409,-0.007358622396483559,6.571930946119159e-05,0.3637508872764676,0.3637508872764676
2021-09-17,NVDA,0.5057668856146962,-0.005806654847326223,-0.004470002632326992,0.25024744582668484,0.25024744582668484
