date,ticker,score,decile,current_weight,model_target_weight,target_weight,delta_weight,current_value,target_value,delta_value,turnover,estimated_cost,action,signal_type,rebalance_due,next_rebalance_date,valid_until,regime_favorable,spy_close,spy_sma_200
2026-03-02,QCOM,0.4797,3,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,MSFT,0.4778,2,0.25,0.0,0.0,-0.25,,,,0.25,0.000125,EXIT,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,AMD,0.4745,2,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,CAT,0.4648,2,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,CRM,0.4444,2,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,NVDA,0.4397,2,0.2,0.0,0.0,-0.2,,,,0.2,0.0001,EXIT,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,ABT,0.4324,1,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,COST,0.4145,1,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,ORCL,0.3961,1,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,INTC,0.3921,1,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
2026-03-02,UNH,0.3845,1,,0.0,0.0,0.0,,,,0.0,0.0,HOLD,rebalance,True,2026-03-09,2026-03-09,True,686.38,654.6804
