date,sector,sector_weight,sector_share
2023-02-27,Communication Services,0.05288020034606679,0.0264401001730334
2023-02-27,Consumer Discretionary,0.2349262008996415,0.11746310044982078
2023-02-27,Consumer Staples,0.05684470726368883,0.02842235363184442
2023-02-27,Energy,0.0565857547609494,0.02829287738047471
2023-02-27,Financials,0.27318534501568575,0.1365926725078429
2023-02-27,Health Care,0.25154082487413326,0.12577041243706666
2023-02-27,Industrials,0.4,0.20000000000000007
2023-02-27,Information Technology,0.31154572763695115,0.1557728638184756
2023-02-27,Materials,0.1132194251322869,0.056609712566143465
2023-02-27,Real Estate,0.195165049747889,0.09758252487394453
2023-02-27,Utilities,0.05410676432270703,0.02705338216135352
2023-02-28,Communication Services,0.05288020034606679,0.0264401001730334
2023-02-28,Consumer Discretionary,0.2349262008996415,0.11746310044982078
2023-02-28,Consumer Staples,0.05684470726368883,0.02842235363184442
2023-02-28,Energy,0.0565857547609494,0.02829287738047471
2023-02-28,Financials,0.27318534501568575,0.1365926725078429
2023-02-28,Health Care,0.25154082487413326,0.12577041243706666
2023-02-28,Industrials,0.4,0.20000000000000007
2023-02-28,Information Technology,0.31154572763695115,0.1557728638184756
2023-02-28,Materials,0.1132194251322869,0.056609712566143465
2023-02-28,Real Estate,0.195165049747889,0.09758252487394453
2023-02-28,Utilities,0.05410676432270703,0.02705338216135352
2023-03-01,Communication Services,0.05288020034606679,0.0264401001730334
2023-03-01,Consumer Discretionary,0.2349262008996415,0.11746310044982078
2023-03-01,Consumer Staples,0.05684470726368883,0.02842235363184442
2023-03-01,Energy,0.0565857547609494,0.02829287738047471
2023-03-01,Financials,0.27318534501568575,0.1365926725078429
2023-03-01,Health Care,0.25154082487413326,0.12577041243706666
2023-03-01,Industrials,0.4,0.20000000000000007
2023-03-01,Information Technology,0.31154572763695115,0.1557728638184756
2023-03-01,Materials,0.1132194251322869,0.056609712566143465
2023-03-01,Real Estate,0.195165049747889,0.09758252487394453
2023-03-01,Utilities,0.05410676432270703,0.02705338216135352
2023-03-02,Communication Services,0.05288020034606679,0.0264401001730334
2023-03-02,Consumer Discretionary,0.2349262008996415,0.11746310044982078
2023-03-02,Consumer Staples,0.05684470726368883,0.02842235363184442
2023-03-02,Energy,0.0565857547609494,0.02829287738047471
2023-03-02,Financials,0.27318534501568575,0.1365926725078429
2023-03-02,Health Care,0.25154082487413326,0.12577041243706666
2023-03-02,Industrials,0.4,0.20000000000000007
2023-03-02,Information Technology,0.31154572763695115,0.1557728638184756
2023-03-02,Materials,0.1132194251322869,0.056609712566143465
2023-03-02,Real Estate,0.195165049747889,0.09758252487394453
2023-03-02,Utilities,0.05410676432270703,0.02705338216135352
2023-03-03,Communication Services,0.05288020034606679,0.0264401001730334
2023-03-03,Consumer Discretionary,0.2349262008996415,0.11746310044982078
2023-03-03,Consumer Staples,0.05684470726368883,0.02842235363184442
2023-03-03,Energy,0.0565857547609494,0.02829287738047471
2023-03-03,Financials,0.27318534501568575,0.1365926725078429
2023-03-03,Health Care,0.25154082487413326,0.12577041243706666
2023-03-03,Industrials,0.4,0.20000000000000007
2023-03-03,Information Technology,0.31154572763695115,0.1557728638184756
2023-03-03,Materials,0.1132194251322869,0.056609712566143465
2023-03-03,Real Estate,0.195165049747889,0.09758252487394453
2023-03-03,Utilities,0.05410676432270703,0.02705338216135352
2023-03-06,Communication Services,0.10943150323986883,0.054715751619934416
2023-03-06,Consumer Discretionary,0.1483895206939356,0.0741947603469678
2023-03-06,Consumer Staples,0.08594268024818155,0.042971340124090776
2023-03-06,Energy,0.1239950258314785,0.06199751291573925
2023-03-06,Financials,0.3323366583628977,0.16616832918144886
2023-03-06,Health Care,0.4,0.2
2023-03-06,Industrials,0.20874411938890342,0.10437205969445171
2023-03-06,Information Technology,0.2253000518012067,0.11265002590060336
2023-03-06,Materials,0.1919854323921662,0.0959927161960831
2023-03-06,Real Estate,0.14689709678699497,0.07344854839349749
2023-03-06,Utilities,0.02697791125436641,0.013488955627183205
2023-03-07,Communication Services,0.10943150323986883,0.054715751619934416
2023-03-07,Consumer Discretionary,0.1483895206939356,0.0741947603469678
2023-03-07,Consumer Staples,0.08594268024818155,0.042971340124090776
2023-03-07,Energy,0.1239950258314785,0.06199751291573925
2023-03-07,Financials,0.3323366583628977,0.16616832918144886
2023-03-07,Health Care,0.4,0.2
2023-03-07,Industrials,0.20874411938890342,0.10437205969445171
2023-03-07,Information Technology,0.2253000518012067,0.11265002590060336
2023-03-07,Materials,0.1919854323921662,0.0959927161960831
2023-03-07,Real Estate,0.14689709678699497,0.07344854839349749
2023-03-07,Utilities,0.02697791125436641,0.013488955627183205
2023-03-08,Communication Services,0.10943150323986883,0.054715751619934416
2023-03-08,Consumer Discretionary,0.1483895206939356,0.0741947603469678
2023-03-08,Consumer Staples,0.08594268024818155,0.042971340124090776
2023-03-08,Energy,0.1239950258314785,0.06199751291573925
2023-03-08,Financials,0.3323366583628977,0.16616832918144886
2023-03-08,Health Care,0.4,0.2
2023-03-08,Industrials,0.20874411938890342,0.10437205969445171
2023-03-08,Information Technology,0.2253000518012067,0.11265002590060336
2023-03-08,Materials,0.1919854323921662,0.0959927161960831
2023-03-08,Real Estate,0.14689709678699497,0.07344854839349749
2023-03-08,Utilities,0.02697791125436641,0.013488955627183205
2023-03-09,Communication Services,0.0,0.0
2023-03-09,Consumer Discretionary,0.0,0.0
2023-03-09,Consumer Staples,0.0,0.0
2023-03-09,Energy,0.0,0.0
2023-03-09,Financials,0.0,0.0
2023-03-09,Health Care,0.0,0.0
2023-03-09,Industrials,0.0,0.0
2023-03-09,Information Technology,0.0,0.0
2023-03-09,Materials,0.0,0.0
2023-03-09,Real Estate,0.0,0.0
2023-03-09,Utilities,0.0,0.0
2023-03-10,Communication Services,0.0,0.0
2023-03-10,Consumer Discretionary,0.0,0.0
2023-03-10,Consumer Staples,0.0,0.0
2023-03-10,Energy,0.0,0.0
2023-03-10,Financials,0.0,0.0
2023-03-10,Health Care,0.0,0.0
2023-03-10,Industrials,0.0,0.0
2023-03-10,Information Technology,0.0,0.0
2023-03-10,Materials,0.0,0.0
2023-03-10,Real Estate,0.0,0.0
2023-03-10,Utilities,0.0,0.0
2023-03-13,Communication Services,0.0,0.0
2023-03-13,Consumer Discretionary,0.0,0.0
2023-03-13,Consumer Staples,0.0,0.0
2023-03-13,Energy,0.0,0.0
2023-03-13,Financials,0.0,0.0
2023-03-13,Health Care,0.0,0.0
2023-03-13,Industrials,0.0,0.0
2023-03-13,Information Technology,0.0,0.0
2023-03-13,Materials,0.0,0.0
2023-03-13,Real Estate,0.0,0.0
2023-03-13,Utilities,0.0,0.0
2023-03-14,Communication Services,0.0,0.0
2023-03-14,Consumer Discretionary,0.0,0.0
2023-03-14,Consumer Staples,0.0,0.0
2023-03-14,Energy,0.0,0.0
2023-03-14,Financials,0.0,0.0
2023-03-14,Health Care,0.0,0.0
2023-03-14,Industrials,0.0,0.0
2023-03-14,Information Technology,0.0,0.0
2023-03-14,Materials,0.0,0.0
2023-03-14,Real Estate,0.0,0.0
2023-03-14,Utilities,0.0,0.0
2023-03-15,Communication Services,0.0,0.0
2023-03-15,Consumer Discretionary,0.0,0.0
2023-03-15,Consumer Staples,0.0,0.0
2023-03-15,Energy,0.0,0.0
2023-03-15,Financials,0.0,0.0
2023-03-15,Health Care,0.0,0.0
2023-03-15,Industrials,0.0,0.0
2023-03-15,Information Technology,0.0,0.0
2023-03-15,Materials,0.0,0.0
2023-03-15,Real Estate,0.0,0.0
2023-03-15,Utilities,0.0,0.0
2023-03-16,Communication Services,0.18283215670852762,0.09141607835426381
2023-03-16,Consumer Discretionary,0.16521323476798885,0.08260661738399443
2023-03-16,Consumer Staples,0.20462688253258401,0.10231344126629201
2023-03-16,Energy,0.020679463498449492,0.010339731749224746
2023-03-16,Financials,0.3444738653368232,0.1722369326684116
2023-03-16,Health Care,0.2658530820361679,0.13292654101808396
2023-03-16,Industrials,0.2246554717102482,0.1123277358551241
2023-03-16,Information Technology,0.3275497854178902,0.1637748927089451
2023-03-16,Materials,0.08234396768655737,0.041171983843278685
2023-03-16,Real Estate,0.10108874431587217,0.050544372157936085
2023-03-16,Utilities,0.08068334598889089,0.040341672994445445
2023-03-17,Communication Services,0.0,0.0
2023-03-17,Consumer Discretionary,0.0,0.0
2023-03-17,Consumer Staples,0.0,0.0
2023-03-17,Energy,0.0,0.0
2023-03-17,Financials,0.0,0.0
2023-03-17,Health Care,0.0,0.0
2023-03-17,Industrials,0.0,0.0
2023-03-17,Information Technology,0.0,0.0
2023-03-17,Materials,0.0,0.0
2023-03-17,Real Estate,0.0,0.0
2023-03-17,Utilities,0.0,0.0
2023-03-20,Communication Services,0.18659461085981824,0.0932973054299091
2023-03-20,Consumer Discretionary,0.24715806688829325,0.1235790334441466
2023-03-20,Consumer Staples,0.060207118725483594,0.03010355936274179
2023-03-20,Energy,0.18068472021759768,0.09034236010879883
2023-03-20,Financials,0.20282928029021777,0.10141464014510886
2023-03-20,Health Care,0.16312919732214076,0.08156459866107037
2023-03-20,Industrials,0.32111153869075243,0.1605557693453762
2023-03-20,Information Technology,0.3269333419921416,0.16346667099607076
2023-03-20,Materials,0.12454349359748167,0.06227174679874082
2023-03-20,Real Estate,0.08284444526766001,0.04142222263383
2023-03-20,Utilities,0.10396418614841332,0.05198209307420665
