data_provider,universe_file,requested_tickers_count,downloaded_tickers_count,scored_tickers_count,periods,rebalance_frequency,max_sector_weight,use_volatility_targeting,use_score_weighting,total_return,annualized_sharpe,max_drawdown,benchmark_return,excess_return
yahoo,configs/universe_500.csv,500,500,499,1200,weekly,0.2,False,True,1.014177115732096,1.0473257829833145,-0.23785303754169473,0.709575297497075,0.30460181823502097
yahoo,configs/universe_500.csv,500,500,499,1200,weekly,0.2,False,False,1.0104413642703691,1.0452831645134766,-0.2379265771979382,0.709575297497075,0.3008660667732941
